Date,Close,High,Low,Open,Volume
,,,,,
,,,,,
01-01-2020,3.81799674,3.81799674,3.81799674,3.81799674,0
02-01-2020,3.831855059,3.852642513,3.817996645,3.8387841,896608
05-01-2020,3.734845877,3.797208902,3.734845877,3.797208902,6752456
06-01-2020,3.762562752,3.790279579,3.720987511,3.734845925,3685906
07-01-2020,3.811067343,3.811067343,3.776421144,3.790279557,6185718
08-01-2020,3.804137707,3.804137707,3.762562469,3.776420882,3268453
09-01-2020,3.852642536,3.852642536,3.82492571,3.82492571,8940055
13-01-2020,3.866500854,3.866500854,3.831854987,3.831854987,2911658
14-01-2020,3.915005922,3.915005922,3.852642891,3.852642891,7504420
15-01-2020,3.949651241,3.949651241,3.901146962,3.901146962,5658672
16-01-2020,3.977368355,3.984297727,3.935793114,3.935793114,10698867
19-01-2020,4.005085468,4.025872923,3.963509897,3.991227055,6977320
20-01-2020,3.984297752,4.018943952,3.97736838,4.018943952,2655581
21-01-2020,3.991226673,4.005085085,3.97043889,3.984297302,2829198
22-01-2020,3.998156548,4.025873378,3.97736876,4.00508592,6732578
23-01-2020,4.060518742,4.060518742,3.991226681,3.991226681,7616240
26-01-2020,4.005085468,4.05358975,4.005085468,4.05358975,3276277
27-01-2020,3.935792685,4.012014117,3.915005232,4.012014117,9242480
28-01-2020,3.949651241,3.977368067,3.928863788,3.949651241,4679575
29-01-2020,4.005085468,4.01201451,3.956580856,3.956580856,3205997
30-01-2020,3.956580639,4.005085249,3.949651267,4.005085249,4005288
02-02-2020,0.900797665,0.907726872,0.900797665,0.900797665,832235
03-02-2020,3.921934366,3.970438975,3.921934366,3.921934366,3634008
04-02-2020,3.921934366,3.963509604,3.921934366,3.921934366,3045899
05-02-2020,3.921934366,3.921934366,3.921934366,3.921934366,0
06-02-2020,3.935792685,3.984297292,3.935792685,3.942722056,7512773
09-02-2020,3.90114665,3.949650926,3.894217279,3.949650926,3517822
10-02-2020,3.942722559,3.949651601,3.921934773,3.928864145,3947487
11-02-2020,3.908076048,3.935792874,3.894217635,3.935792874,3709278
12-02-2020,3.915005922,3.956581166,3.901147508,3.90807655,5508359
13-02-2020,3.942722559,3.991227173,3.915005731,3.949651601,17766543
16-02-2020,3.942722559,3.956580973,3.935793187,3.942722559,1608493
17-02-2020,3.96350956,3.970438931,3.949651147,3.956580519,9981438
18-02-2020,3.984297752,3.984297752,3.956580925,3.97736838,3721515
19-02-2020,3.984297752,3.984297752,3.984297752,3.984297752,0
20-02-2020,3.928864241,3.970439483,3.928864241,3.970439483,5732656
23-02-2020,3.935792685,3.949651097,3.915005232,3.949651097,2569950
24-02-2020,3.915005922,3.935793379,3.915005922,3.928864337,11155597
25-02-2020,3.880358934,3.915005129,3.831854658,3.915005129,8334528
26-02-2020,3.797209024,3.859572052,3.790279652,3.859572052,11756256
27-02-2020,3.741775513,3.79720917,3.727917098,3.79720917,7978491
01-03-2020,3.644766331,3.720987439,3.630907587,3.720987439,14100155
02-03-2020,3.707129002,3.748704241,3.672483134,3.672483134,8215311
03-03-2020,3.741775513,3.845713786,3.73484614,3.73484614,5201603
04-03-2020,3.679412127,3.720987366,3.679412127,3.714058324,9254920
